die_number,dimension1,dimension2,dimension3,dimension4,wt_kg_p_mt,die_diagram
44604,41.7,45.6,1.15,0,0.643,die_profile_images/2023/10/07/125434/44604.jpg
44605,75,90.01,1.2,0,0.926,die_profile_images/2023/10/07/125721/44605.jpg
44606,18,12.51,1.1,0,0.151,die_profile_images/2023/10/07/125854/44606.jpg
44607,12.91,14.9,1.06,0,0.108,die_profile_images/2024/07/21/033020/44607.jpg
44608,30,75,1.3,0,0.994,die_profile_images/2024/07/21/033146/44608.jpg
44609,33.78,36.05,1.25,0,0.365,die_profile_images/2024/12/02/105358/44609.jpg
44610,41.55,36.05,1.25,0,0.593,die_profile_images/2024/12/02/105546/44610.jpg
44611,34.48,20.2,1.45,0,0.479,die_profile_images/2024/12/02/110239/44611.jpg
44612,13.4,9.05,0.9,0,0.073,die_profile_images/2024/12/02/110432/44612.jpg
44613,25,63,1.35,0,0.771,die_profile_images/2024/12/02/110642/44613.jpg
44614,70.47,20.3,1.3,0,0.782,die_profile_images/2024/12/02/110944/44614.jpg
44615,12.6,17.61,1,0,0.158,die_profile_images/2024/12/02/111356/44615.jpg
44616,88.5,40.2,1.35,0,1.336,die_profile_images/2024/12/02/111533/44616.jpg
44651,84,46,1.11,0,3.97,die_profile_images/2021/05/27/035514/44651.jpg
44652,120,35,1,0,4.916,die_profile_images/2021/05/27/035711/44652.jpg
44653,120,35,1.3,0,5.203,die_profile_images/2023/09/11/112100/44653.jpg
44701,6,3,0,0,0.043,die_profile_images/2023/09/10/100545/44701.jpg
44725,35,22,1.2,0,0.388,die_profile_images/2023/08/21/120014/44725.jpg
44726,60,22,1.2,0,0.555,die_profile_images/2023/08/21/120109/44726.jpg
44751,112,33.86,1.8,0,1.741,die_profile_images/2021/10/14/050818/44751.jpg
44752,35.8,75,2,0,1.398,die_profile_images/2021/10/14/051025/44752.jpg
44753,53.81,8.29,1.9,0,0.31,die_profile_images/2021/10/14/051230/44753.jpg
44754,112,45,1.8,0,2.503,die_profile_images/2021/11/12/104216/44754.jpg
44755,77.01,50,2,0,1.563,die_profile_images/2021/10/14/051603/44755.jpg
44756,96,55,1.6,0,1.59,die_profile_images/2021/10/14/051830/44756.jpg
44757,73,55,2,0,1.627,die_profile_images/2022/04/01/113322/44757.jpg
44758,59.48,45,1.8,0,1.339,die_profile_images/2022/09/10/122545/44758.jpg
44759,60,48.57,1.5,0,0.602,die_profile_images/2022/03/24/050713/44759.jpg
44760,55,68,1.6,0,1.41,die_profile_images/2022/09/10/122737/44760.jpg
44761,64.8,55.3,1.8,0,1.159,die_profile_images/2022/11/04/114150/44761.jpg
44762,112,50,2,0,2.146,die_profile_images/2023/02/06/024010/44762.jpg
44763,87.3,38.18,1.6,0,1.511,die_profile_images/2023/04/07/114609/44763.jpg
44764,87.31,38,1.4,0,1.265,die_profile_images/2023/04/07/010955/44764.jpg
44765,67.95,40.2,1.4,0,1.236,die_profile_images/2024/03/29/035727/44765.jpg
44766,60,27,1.6,0,0.873,die_profile_images/2024/03/29/035906/44766.jpg
44767,87.81,38.9,1.5,0,1.5,die_profile_images/2024/03/29/040014/47767.jpg
44768,93,23,2,0,1.659,die_profile_images/2025/05/01/025101/44768.jpg
44801,10,7,1,0,0.06,die_profile_images/2024/01/18/122158/44801.jpg
44802,42,39,1.3,0,0.589,die_profile_images/2025/03/12/120650/44802.jpg
44803,43.5,40,1.4,0,0.843,die_profile_images/2025/03/12/120939/44803.jpg
44804,88,40,1.4,0,1.467,die_profile_images/2025/03/12/121134/44804.jpg
44805,104,40,1.4,0,1.809,die_profile_images/2025/03/12/121413/44805.jpg
44806,61.5,31,1.3,0,0.957,die_profile_images/2025/03/12/121621/44806.jpg
44807,75,31,1.3,0,0.982,die_profile_images/2025/03/12/121730/44807.jpg
44851,56,66.5,3,0,1.552,die_profile_images/2022/06/13/020844/44851.jpg
44901,23.3,13.3,1.65,0,0.214,die_profile_images/2023/08/10/045308/44902.jpg
44902,24.8,12.6,2.1,0,0.209,die_profile_images/2022/08/08/125648/44902.jpg
44903,61.5,27.2,3,0,0.878,die_profile_images/2022/10/16/053840/44903.jpg
44904,51.4,25.6,3,0,0.714,die_profile_images/2022/10/16/054014/44904.jpg
44905,50.35,45.2,1.6,0,0.81,die_profile_images/2022/10/16/054118/44905.jpg
44906,40,33.6,2.85,0,0.647,die_profile_images/2022/10/16/054224/44906.jpg
44907,24.8,12.6,1.05,0,0.183,die_profile_images/2023/08/05/025713/44907.jpg
44908,17.8,7.4,1.44,0,0.136,die_profile_images/2024/08/22/031524/44908.jpg
44909,19.6,11.76,1.7,0,0.179,die_profile_images/2024/08/22/031339/44909.jpg
44951,81.7,68.05,2.5,0,2.825,die_profile_images/2022/11/03/125304/44951.jpg
44952,81.7,68.05,2.5,0,2.762,die_profile_images/2024/03/14/120200/44951.jpg
44953,57.49,47,2,0,0.692,die_profile_images/2025/05/02/060429/44953.jpg
45001,32,17.5,1.2,0,0.28,die_profile_images/.net_data/055f85be-ee81-4da4-b423-12ada4074b6d_45001.jpg
45051,45.61,45.61,1.75,0,0.777,die_profile_images/2023/02/22/123710/45051.jpg
46001,85.8,46,1.5,0,1.268,die_profile_images/.net_data/698ac931-07df-4e89-8571-3fc306a9ff7b_46001.jpg
46002,13,17.7,1,0,0.181,die_profile_images/.net_data/a29cf158-4b05-4a86-9fe6-794e4f24fca3_46002.jpg
46003,86.7,27.2,1.4,0,1.138,die_profile_images/.net_data/d18b89a1-37da-4dd2-8339-464b1a386125_46003.jpg
46004,100,32.75,1.4,0,1.13,die_profile_images/.net_data/d7ed67d2-0a3d-4468-89ce-d6f52f29ece5_46004.jpg
46005,46.7,27.2,1.4,0,0.64,die_profile_images/.net_data/251743da-57f2-427b-9bcc-2ae534df3360_46005.jpg
46006,35,58.9,1.4,0,0.864,die_profile_images/.net_data/e714254e-13f8-463d-b64f-7ea426a187b0_46006.jpg
46007,29,28.5,1.5,0,0.465,die_profile_images/.net_data/d6dd4186-22cb-4869-a5e8-dd9603fc8948_46007.jpg
46008,26.4,26.7,1.5,0,0.479,die_profile_images/.net_data/3f5c2d09-a8ee-4b87-b67f-f5bcb043ca19_46008.jpg
46009,35,23.85,1.25,0,0.274,die_profile_images/.net_data/4b8ecff0-52ae-45df-b71a-e781f14d7c37_46009.jpg
46010,31.5,57.9,1.4,0,0.698,die_profile_images/.net_data/98891b6d-5984-45e5-8d7b-0b545f32515c_46010.jpg
46011,95.4,31.1,1.4,0,1.539,die_profile_images/.net_data/5aecdbf2-4543-4536-9163-c017711fc3c5_46011.jpg
46012,156,50,1.55,0,2.967,die_profile_images/.net_data/e8ac9a26-3264-4f37-81ab-5547cf177e2a_46012.jpg
46013,145.2,31.1,1.4,0,1.875,die_profile_images/.net_data/9589888d-4a5a-4a6f-8b48-ad1c8c6664c9_46013.jpg
46014,13.4,37.19,1.3,0,0.224,die_profile_images/.net_data/8fe08c7d-e529-43fe-9a54-8b178b6233ac_46014.jpg
46015,49.5,23.4,1.2,0,0.344,die_profile_images/.net_data/392627fd-2933-4d9b-9408-a3637338cdbb_46015.jpg
46016,62.4,40,1.4,0,1.163,die_profile_images/.net_data/bf229aa3-98f6-45d0-855e-ab91601520c5_46016.jpg
46017,150,42.75,1.4,0,2.218,die_profile_images/.net_data/98f59c89-206a-4a3a-9123-a38526c58067_46017.jpg
46018,150,42.75,1.4,0,2.278,die_profile_images/.net_data/04cdfe3b-c527-4574-93e1-a4e8dda6e30e_46018.jpg
46019,9,13.35,1.4,0,0.132,die_profile_images/.net_data/8c49c6f4-6727-4ad4-b76f-de453c18f4b8_46019.png
46020,96.2,27.2,1.4,0,1.08,die_profile_images/.net_data/c0c76f58-c58b-4efe-b445-87138134b63e_46020.jpg
46021,71.7,27.2,1.4,0,0.998,die_profile_images/.net_data/6765e012-f015-491f-8e44-c1aa11c3e326_46021.jpg
46022,31,15.8,1.3,0,0.227,die_profile_images/.net_data/0dd3decb-d755-4008-88fe-fff17f018d83_46022.jpg
46023,39.1,30,1.5,0,0.593,die_profile_images/.net_data/1cff5be2-8674-4d58-b77f-ff1d787e053f_46023.jpg
46024,65.2,32.4,1.5,0,0.932,die_profile_images/.net_data/a971cf1b-0b0a-400c-b83c-8088fc75c68f_46024.jpg
46025,75,50,1.4,0,1.404,die_profile_images/.net_data/62916056-04e5-498a-b97d-808545f56780_46025.jpg
46026,114,50,1.4,0,1.857,die_profile_images/.net_data/55f228c1-9a0d-45a7-affc-594278f61bb2_46026.jpg
46027,64.4,50,1.3,0,1.307,die_profile_images/.net_data/e6766c21-523c-46f1-8a38-3335926e977e_46027.jpg
46028,150,25,1.4,0,1.588,die_profile_images/.net_data/1ebc182d-181a-4418-84ad-fafce5d4a676_46028.jpg
46029,16,16.25,1.4,0,0.247,die_profile_images/.net_data/ef0ebf38-876c-4964-8472-7f25331f92d6_46029.jpg
46030,77.8,41.7,2,0,1.043,die_profile_images/2021/03/01/021333/46030.jpg
46031,50,23.8,2,0,0.604,die_profile_images/2021/03/01/021502/46031.jpg
46032,26,14.6,1.25,0,0.252,die_profile_images/2021/03/01/021626/46032.jpg
46033,40,32.4,1.5,0,0.738,die_profile_images/2021/06/16/033136/46033.jpg
46034,45,41.9,1.2,0,0.782,die_profile_images/2021/08/16/120107/46034.jpg
46035,80,41.9,1.2,0,1.263,die_profile_images/2021/08/16/120251/46035.jpg
46036,44,28.15,1.8,0,0.643,die_profile_images/2021/08/16/120442/46036.jpg
46037,115,41.9,1.2,0,1.722,die_profile_images/2021/09/30/123027/47037.jpg
46038,73.8,45.6,1.2,0,1.2,die_profile_images/2021/11/09/121519/47038.jpg
46039,108.8,45.6,1.2,0,1.645,die_profile_images/2021/11/09/121641/47039.jpg
46040,78.4,22,1.2,0,0.828,die_profile_images/2021/11/09/121827/47040.jpg
46041,113.4,22,1.2,0,1.079,die_profile_images/2021/11/09/122033/47041.jpg
46042,113.4,22,1.2,0,1.223,die_profile_images/2021/11/09/122223/47042.jpg
46043,24.5,55,1.2,0,0.661,die_profile_images/2021/11/09/122357/47043.jpg
46044,27.5,55,1.2,0,0.776,die_profile_images/2021/12/13/094941/47044.jpg
46045,33,20,1.2,0,0.513,die_profile_images/2021/11/09/122855/47045.jpg
46046,73,20,1.2,0,0.916,die_profile_images/2021/11/09/123044/47046.jpg
46047,73,20,1.2,0,0.874,die_profile_images/2021/11/09/123338/47047.jpg
46048,100,100,1.7,0,2.556,die_profile_images/2021/11/30/052643/47048.jpg
46049,75.7,47.3,1.3,0,0.84,die_profile_images/2022/03/24/054310/46049.jpg
46050,35,58.9,1.4,0,0.936,die_profile_images/2022/03/24/054512/46050.jpg
46051,85.8,65.8,1.5,0,1.436,die_profile_images/2022/03/24/054709/46051.jpg
46052,5,12,4.93,0,0.154,die_profile_images/2022/03/25/125212/46052.jpg
46053,77.8,30,1.3,0,0.881,die_profile_images/2022/03/25/125754/46053.jpg
46054,21.6,17.99,1.13,0,0.192,die_profile_images/2022/03/25/125924/46054.jpg
46055,92,43.98,1.5,0,1.242,die_profile_images/2022/09/06/051515/46055.jpg
46056,24,6.5,1.5,0,0.217,die_profile_images/2022/09/06/051633/46056.jpg
46057,23.1,63.46,1.5,0,0.769,die_profile_images/2023/05/23/043627/46057.jpg
46058,35.6,59.3,1.8,0,1.082,die_profile_images/2023/05/23/043721/46058.jpg
46059,31.5,57.9,1.8,0,0.819,die_profile_images/2023/05/23/043826/46059.jpg
46060,58,18,2.2,0,0.659,die_profile_images/2023/05/23/043919/46060.jpg
46061,57.5,52.71,1.5,0,0.965,die_profile_images/2023/05/23/044009/46061.jpg
46062,58.4,27.2,1.4,0,0.787,die_profile_images/2023/05/23/044114/46062.jpg
46063,125,18,2.2,0,1.52,die_profile_images/2023/05/23/044206/46063.jpg
46064,35,67.9,1.4,0,0.954,die_profile_images/2023/05/23/044251/46064.jpg
46065,46.8,18,2.2,0,0.525,die_profile_images/2023/05/23/044348/46065.jpg
46066,30,65,1.2,0,0.82,die_profile_images/2023/05/23/044446/46066.jpg
46067,24.3,57.3,1.2,0,0.672,die_profile_images/2023/05/23/044535/46067.jpg
46068,30,65.8,1.2,0,0.706,die_profile_images/2023/05/23/044624/46068.jpg
46069,30,45.3,1.2,0,0.537,die_profile_images/2023/05/23/044718/46069.jpg
46070,100,45.3,1.4,0,1.217,die_profile_images/2023/05/23/044807/46070.jpg
46071,100,65.8,1.2,0,1.438,die_profile_images/2023/05/23/044910/46071.jpg
46072,113.4,22,1.2,0,1.284,die_profile_images/2023/05/23/045020/46072.jpg
46073,113.4,22,1.2,0,1.078,die_profile_images/2023/05/23/045114/46073.jpg
46074,52.16,36,1.5,0,0.631,die_profile_images/2024/06/02/023049/46074.jpg
46075,30,49.5,2,0,0.447,die_profile_images/2024/06/02/023545/46075.jpg
46501,17.5,33,4.9,0,0.8,die_profile_images/.net_data/649257f1-5232-456c-b8ca-ad284d7c8c66_46501.jpg
46502,82.7,37,1.8,0,1.45,die_profile_images/.net_data/1e66ed2b-adbd-4dce-ac92-3a451532b7ad_46502.jpg
46503,114.2,47.69,1.4,0,1.898,die_profile_images/.net_data/18d287cf-e4f6-40b6-aaf9-565cdc3c051c_46503.jpg
46504,100,47,1.3,0,2.958,die_profile_images/.net_data/ee8c98eb-5945-4f19-9cfa-65753018dc2c_66138.jpg
46505,32,25.5,1.2,0,0.302,die_profile_images/2021/03/15/023832/46505.jpg
46506,50,46,1.4,0,0.818,die_profile_images/.net_data/5faabc54-7e84-4da1-b925-e1dd337763a6_46506.jpg
46507,66,50,1.5,0,0.991,die_profile_images/.net_data/8d5863f6-6c4b-46a8-9924-ffca27ea5196_46507.jpg
46508,78.5,58,1.4,0,1.13,die_profile_images/.net_data/32da4a9d-0430-4402-8c8b-1dcea17be520_46508.jpg
46509,19.3,20,1.2,0,0.202,die_profile_images/2021/10/02/111657/46509.jpg
46510,39.6,32,1.3,0,0.369,die_profile_images/2021/10/02/112253/46510.jpg
46511,32,40,1.2,0,0.499,die_profile_images/2021/10/02/114635/46511.jpg
47001,100,47,2,0,1.56,die_profile_images/.net_data/1389015b-4871-4aed-8622-2af5ba96ee29_47001.jpg
47002,25,15.9,1.3,0,0.35,die_profile_images/.net_data/18b7abf4-2c62-4773-9536-09c5b017c369_47002.jpg
47003,24.4,5.1,1.3,0,0.142,die_profile_images/.net_data/b02d1b52-4df1-45ab-b60d-b94b6a17606d_47003.jpg
47004,65.1,25,1.5,0,0.884,die_profile_images/.net_data/ddf643b9-dd31-4fee-ac93-fae014e7b1f4_47004.jpg
47005,82.6,62.5,1.5,0,1.022,die_profile_images/.net_data/0d0b9823-0d29-4e90-8d7d-120a3328eec3_47005.jpg
47006,82.15,7.35,1.5,0,0.398,die_profile_images/.net_data/6d5fea81-6da6-4641-987b-44d33c070735_47006.jpg
47007,22.8,15.8,1,0,0.189,die_profile_images/.net_data/dc69e30e-fad5-41db-aaec-332b76914db9_47007.jpg
47008,26.4,16,1.2,0,0.221,die_profile_images/.net_data/1902f03c-bd39-4a33-bd4e-250619187504_47008.jpg
47009,81.3,44.45,1.9,0,1.407,die_profile_images/.net_data/ae1d2203-f2d0-429d-99e5-afa4953b673c_47009.jpg
47010,100,46,1.8,0,1.121,die_profile_images/.net_data/53db567f-2cbf-44b2-94e9-2f4ebd740377_47010.jpg
47011,48,23.5,1.5,0,0.525,die_profile_images/.net_data/08003206-3ddd-4891-937f-fa9011467097_47011.jpg
47012,95,18,1.5,0,0.981,die_profile_images/2021/05/08/024320/47012.jpg
47013,39.5,9.5,2,0,0.457,die_profile_images/2021/05/08/024542/47013.jpg
47014,95,19.8,1.5,0,0.972,die_profile_images/2021/05/08/024734/47014.jpg
47015,14.8,10.4,0.8,0,0.091,die_profile_images/2021/05/08/025101/47015.jpg
47016,11.8,5.88,0.68,0,0.098,die_profile_images/2021/05/08/025228/47016.jpg
47017,26.83,6.6,1.2,0,0.098,die_profile_images/2021/05/08/025403/47017.jpg
47018,50.74,5.18,0.8,0,0.135,die_profile_images/2021/05/08/025526/47018.jpg
47019,62,8,1.44,0,0.315,die_profile_images/2021/05/08/025703/47019.jpg
47020,76.59,5.18,0.8,0,0.191,die_profile_images/2021/05/08/025820/47020.jpg
47021,63.8,32.5,1.5,0,0.725,die_profile_images/2021/05/08/030147/47021.jpg
47022,30,25,1.8,0,0.59,die_profile_images/2021/06/13/115329/47022.jpg
47023,26,22,1.8,0,0.345,die_profile_images/2021/06/13/120841/47023.jpg
47024,49,28.1,1.8,0,0.857,die_profile_images/2021/06/13/121020/47024.jpg
47025,27,9.4,1.5,0,0.193,die_profile_images/2021/06/13/121207/47025.jpg
47026,70,31.5,1.2,0,0.665,die_profile_images/2021/12/18/124618/47026.jpg
47027,49,30,1.8,0,0.877,die_profile_images/2022/06/21/020822/47027.jpg
47028,16.2,26.1,1.6,0,0.188,die_profile_images/2022/10/17/110635/47028.jpg
47029,70.7,16.83,1.8,0,0.804,die_profile_images/2022/11/04/104839/47029.jpg
47030,82,16.2,1.8,0,0.95,die_profile_images/2022/11/04/104947/47030.jpg
47031,71.7,30.3,2,0,1.419,die_profile_images/2022/11/04/105104/47031.jpg
47032,30.3,27.25,1.6,0,0.311,die_profile_images/2022/10/17/110811/47032.jpg
47033,40,45,1,0,0.391,die_profile_images/2022/10/17/110923/47033.jpg
47034,36,40,1,0,0.321,die_profile_images/2022/10/17/111050/47034.jpg
47035,25.5,12.5,1,0,0.268,die_profile_images/2022/10/17/111155/47035.jpg
47036,22,22,1,0,0.219,die_profile_images/2022/10/17/111307/47036.jpg
47037,25,25,1,0,0.252,die_profile_images/2022/10/17/111420/47037.jpg
47038,86.86,62.6,1.45,0,1.459,die_profile_images/2023/07/13/115822/47038.jpg
47039,88.88,4.07,1.47,0,0.366,die_profile_images/2023/07/13/120026/47039.jpg
47040,137.75,47.28,1.5,0,2.098,die_profile_images/2023/07/17/112355/47040.jpg
47041,141.76,4.05,3,0,0.728,die_profile_images/2023/07/17/112538/47041.jpg
47042,32,29.5,1.25,0,0.326,die_profile_images/2023/08/05/122354/14028.jpg
47043,50,25,1.3,0,0.49,die_profile_images/2024/04/20/104732/47043.jpg
47044,50,30,1.5,0,0.751,die_profile_images/2024/04/25/113805/47044.jpg
47045,30,25,1.5,0,0.514,die_profile_images/2024/04/25/113905/47045.jpg
47046,30,30,1.5,0,0.511,die_profile_images/2024/04/25/114008/47046.jpg
47047,50,30,1.5,0,0.822,die_profile_images/2024/04/25/114112/47047.jpg
47048,23,13.5,1.5,0,0.231,die_profile_images/2024/04/25/114229/47048.jpg
47049,30,24,1.6,0,0.398,die_profile_images/2024/04/25/114322/47049.jpg
47050,25.3,12.78,0,0,0.191,die_profile_images/2024/04/25/114413/47050.jpg
47051,39.6,17.7,1.3,0,0.344,die_profile_images/2024/04/25/114502/47051.jpg
47052,32.6,10,0.6,0,0.132,die_profile_images/2024/04/27/033727/47052.jpg
47053,30.8,4.7,0.7,0,0.079,die_profile_images/2024/04/27/033937/47053.jpg
47054,60,40,1,0,0.561,die_profile_images/2024/04/27/034025/47054.jpg
47055,70,40,1,0,0.611,die_profile_images/2024/04/27/034107/47055.jpg
47056,50,30,1,0,0.457,die_profile_images/2024/04/27/034153/47056.jpg
47057,21.4,14.2,5.7,0,0.174,die_profile_images/2024/05/16/115800/47057.jpg
47058,116.7,90.5,2,0,2.298,die_profile_images/2024/06/06/040323/47058.jpg
47059,75,21.68,2,0,0.631,die_profile_images/2024/06/23/024717/47059.jpg
47101,120,10,3,0,1.049,die_profile_images/.net_data/80b8f0a6-3056-49ea-bc26-cb02aafc6305_47101.jpg
47102,62,49.5,1.5,0,0.926,die_profile_images/.net_data/48de202d-b82c-4b3c-86ee-c6a1196e00fa_47102.jpg
47103,31.5,27.2,1.2,0,0.402,die_profile_images/.net_data/c2863ae9-9fb7-4324-97b3-63b423b480b6_47103.jpg
47104,31.5,29.2,1.2,0,0.313,die_profile_images/.net_data/f3eac4e0-b157-4a30-9020-a1f4b4056d57_47104.jpg
47107,8.7,13.86,1,0,0.124,die_profile_images/.net_data/365edf26-0136-4f29-8a5d-03a1cc19189f_47107.jpg
47108,13,17.4,1,0,0.153,die_profile_images/.net_data/9164bfae-770b-4650-9bb2-38a1b1cdea1e_47108.jpg
47109,42.25,11.54,1.54,0,0.632,die_profile_images/2024/05/05/112242/47109.jpg
47110,25,1.5,0,0,0.383,die_profile_images/2024/02/21/110121/47110.jpg
47111,31.99,13.8,1.2,0,0.207,die_profile_images/2024/02/20/040428/47111.jpg
47111,31.99,13.8,1.2,0,0.207,die_profile_images/2024/02/21/110437/47111.jpg
47112,75,10,1.3,0,0.82,die_profile_images/2024/04/13/122257/47112.jpg
47113,40,20,2,0,0.496,die_profile_images/2024/04/02/024744/47113.jpg
47114,17.3,3.8,2.3,0,0.152,die_profile_images/2024/04/22/050108/47114.jpg
47115,59.5,35,1.41,0,0.992,die_profile_images/2024/04/05/021143/47115.jpg
47116,36.7,6.62,1.5,0,0.181,die_profile_images/2024/04/05/023133/47116.jpg
47117,50.5,29,1.5,0,0.236,die_profile_images/2024/04/05/023330/47117.jpg
47118,13.6,9.56,1.5,0,0.124,die_profile_images/2024/04/05/023501/47118.jpg
47119,63.9,36.2,1.2,0,0.849,die_profile_images/2024/08/22/093838/47119.jpg
47120,42.5,18.1,3,0,0.656,die_profile_images/2024/06/17/034214/47120_N.jpg
47121,43,27.5,3,0,0.723,die_profile_images/2024/05/11/100642/47121.jpg
47122,64.16,35.1,1.6,0,0.861,die_profile_images/2024/05/15/061002/4712.jpg
47123,28,32,6.5,0,1.33,die_profile_images/2024/05/20/025200/47123.jpg
47124,24.65,14.52,1.2,0,0.239,die_profile_images/2024/07/07/104800/47124.jpg
47201,12.9,15,1,0,0.115,die_profile_images/.net_data/39cf84b9-7915-4dec-8ab6-c63bd4da63fa_47201.jpg
47202,15.7,10.8,1,0,0.1,die_profile_images/.net_data/f4f4a804-a11e-4dfc-a70b-99ef7a5f2307_47202.jpg
47203,17.6,6.7,0.9,0,0.1,die_profile_images/.net_data/f4bd2d90-fd69-499d-bea3-fded85d42ec8_47203.jpg
47204,10,13.4,0,0,0.135,die_profile_images/.net_data/94ec714f-d4d9-4599-885d-6982429c9b7d_47204.jpg
47205,73,14.2,1,0,0.428,die_profile_images/.net_data/feb50df3-c277-4518-9dd4-b12de14ab57d_47205.jpg
47206,69.2,6,1.2,0,0.327,die_profile_images/.net_data/068dffa6-4c54-4909-a2d3-9d8eb79c69be_47206.jpg
47207,18.3,14.62,0.95,0,0.157,die_profile_images/.net_data/0d33f72f-86fe-402a-8696-26f1eb5458f8_47207.jpg
47208,46,42,1.2,0,0.226,die_profile_images/.net_data/a458fcf3-8943-419c-9405-d9021b406c20_47208.jpg
47209,93.45,19.92,0.9,0,0.543,die_profile_images/.net_data/3767f623-1548-41b0-9ba4-2e0463e5af18_47209.jpg
47210,79.18,9.2,1,0,0.47,die_profile_images/.net_data/991f0b94-0a36-41c4-93e8-243c375a9508_47210.jpg
47211,27.9,5.24,0.95,0,0.087,die_profile_images/2023/06/15/042131/47211.jpg
47301,40.93,25,1.4,0,0.4,die_profile_images/.net_data/85140dc8-e6c1-4e84-ac34-158583112559_47301.jpg
47302,100,35,1.5,0,1.45,die_profile_images/.net_data/0fd009a9-65f2-4edb-9db0-942849424bdd_47302.jpg
47303,104.1,42.5,1.2,0,1.331,die_profile_images/.net_data/ce6a6d6b-85dc-4800-944e-2dc744fdd9da_47303.jpg
47304,89,39.6,1.2,0,1.246,die_profile_images/.net_data/9d5bfc80-c510-40ff-883c-ba00e29ad42d_47304.jpg
47305,66.18,42.5,1.2,0,1.01,die_profile_images/.net_data/73b9e2f4-cc57-46d1-a167-f681e4a512ba_47305.jpg
47306,50.99,39.6,1.25,0,0.807,die_profile_images/.net_data/166aa174-51ad-4f7f-9bcd-cf431c57c0ee_47306.jpg
47307,63,25.52,1.2,0,0.86,die_profile_images/.net_data/db94645a-bb6a-41b1-88d9-82f988428c2d_47307.jpg
47308,39.32,34.2,1.2,0,0.385,die_profile_images/.net_data/5a2d6b4d-6515-4241-b396-81386c1b749c_47308.jpg
47309,35.6,21.5,1.5,0,0.504,die_profile_images/.net_data/30c5b5c3-c969-4c03-8a8f-82363656f26c_47309.jpg
47310,28.03,24.2,1.15,0,0.349,die_profile_images/.net_data/1234c6ea-f10a-4944-aada-482fef0a322c_47310.jpg
47311,114.9,50,1.4,0,2.338,die_profile_images/.net_data/f4760a8c-4b22-40ea-8d7d-55832c4015ef_47311.jpg
47312,98.45,47.1,1.5,0,2.07,die_profile_images/.net_data/fce24872-79af-4c28-9e5b-9681d6659e5a_47312.jpg
47313,72.5,50,1.5,0,1.447,die_profile_images/.net_data/437a1028-5932-4342-9299-783ff902da7f_47313.jpg
47314,56,47.1,1.4,0,1.205,die_profile_images/.net_data/3bc5d25e-01cb-47bd-b3da-562eb1213d3d_47314.jpg
47315,65,29,1.5,0,0.902,die_profile_images/.net_data/61b57c8a-cd67-43c6-b29f-cadb7f773262_47315.jpg
47316,39.36,38.3,1.3,0,0.452,die_profile_images/.net_data/d43196b1-8a1c-45dd-818b-b56a955e877c_47316.jpg
47317,28.02,24.2,1.2,0,0.401,die_profile_images/.net_data/94a36804-1e2f-439b-89ff-f21bc48b7310_47317.jpg
47318,39.2,22.5,1.4,0,0.622,die_profile_images/.net_data/5fe49d66-4628-47a7-be80-4e747b6afa9b_47318.jpg
47319,48.67,25.9,1.7,0,0.535,die_profile_images/.net_data/f05f7326-b032-49ce-91b6-c9713dcc4d71_47319.jpg
47320,75.6,21.5,1.5,0,0.963,die_profile_images/.net_data/a34fc552-414e-455c-b794-a367c7e18ee3_47320.jpg
47321,79.2,22.5,1.4,0,1.257,die_profile_images/.net_data/8b1b5c13-974a-48c4-8ea4-c2b9de7542ee_47321.jpg
47322,44.55,29.55,1.5,0,0.457,die_profile_images/.net_data/016228ed-93bd-4e23-8055-1946017209e9_47322.jpg
47323,75.25,44.55,2.1,0,1.092,die_profile_images/.net_data/b6ab3d28-0998-45f8-b824-8dcfb0f5a390_47323.jpg
47324,47.65,44.55,2,0,0.86,die_profile_images/.net_data/865e5d82-8a34-4afa-b787-336c87fbdfe4_47324.jpg
47325,132.3,23.15,2,0,2.006,die_profile_images/.net_data/1d307284-bc97-403a-8035-7408f57a2ed1_47325.jpg
47326,60.6,38.4,2,0,0.773,die_profile_images/.net_data/92b5838b-9e99-419a-93ed-69a5175ec4d2_47326.jpg
47327,12.4,3.4,0,0,0.108,die_profile_images/.net_data/1d20af27-0c49-4c51-b53f-ecd77eab04de_47327.jpg
47328,68.4,26.5,1.5,0,0.719,die_profile_images/.net_data/ae4999e6-aa67-48af-aa77-ddad8ce099a5_47328.jpg
47329,51.2,25.9,1.5,0,0.319,die_profile_images/.net_data/24a763b7-c806-49b9-993c-8c96f4e9a044_47329.jpg
47330,49.6,37.5,1.3,0,0.591,die_profile_images/.net_data/9e7e52f6-c684-4afc-8bea-b2b694f1ffcd_47330.jpg
47331,75,10,1.5,0,0.603,die_profile_images/.net_data/f6948cc6-0509-41e6-9214-5c0d1d238c7f_47331.jpg
47332,44,39,1.5,0,0.694,die_profile_images/.net_data/f5126e85-0c5a-4b30-a257-ad1e92cd8294_47332.jpg
47333,54.5,25,1.5,0,0.673,die_profile_images/.net_data/b58168ef-a779-44c9-9a03-e25b7647d213_47333.jpg
47334,51.36,39,1.5,0,0.751,die_profile_images/.net_data/e1ee7f60-7f67-4e16-959a-9ee7b19574d9_47334.jpg
47335,70.3,47.1,1.6,0,1.208,die_profile_images/.net_data/2e513a3e-d4f1-46bf-925d-2eb41b214494_47335.jpg
